128
3/5 4/5
-3/5 -4/5
5/13 -12/13
-5/13 12/13
15/17 8/17
-15/17 -8/17
7/25 -24/25
-7/25 24/25
21/29 20/29
-21/29 -20/29
9/41 -40/41
-9/41 40/41
35/37 12/37
-35/37 -12/37
11/61 -60/61
-11/61 60/61
45/53 28/53
-45/53 -28/53
33/65 -56/65
-33/65 56/65
13/85 84/85
-13/85 -84/85
63/65 -16/65
-63/65 16/65
55/73 48/73
-55/73 -48/73
39/89 -80/89
-39/89 80/89
15/113 112/113
-15/113 -112/113
77/85 -36/85
-77/85 36/85
65/97 72/97
-65/97 -72/97
17/145 -144/145
-17/145 144/145
99/101 20/101
-99/101 -20/101
91/109 -60/109
-91/109 60/109
51/149 140/149
-51/149 -140/149
19/181 -180/181
-19/181 180/181
117/125 44/125
-117/125 -44/125
105/137 -88/137
-105/137 88/137
85/157 132/157
-85/157 -132/157
57/185 -176/185
-57/185 176/185
21/221 220/221
-21/221 -220/221
143/145 -24/145
-143/145 24/145
119/169 120/169
-119/169 -120/169
95/193 -168/193
-95/193 168/193
23/265 264/265
-23/265 -264/265
165/173 -52/173
-165/173 52/173
153/185 104/185
-153/185 -104/185
133/205 -156/205
-133/205 156/205
105/233 208/233
-105/233 -208/233
69/269 -260/269
-69/269 260/269
25/313 312/313
-25/313 -312/313
195/197 -28/197
-195/197 28/197
187/205 84/205
-187/205 -84/205
171/221 -140/221
-171/221 140/221
115/277 252/277
-115/277 -252/277
75/317 -308/317
-75/317 308/317
27/365 364/365
-27/365 -364/365
221/229 -60/229
-221/229 60/229
209/241 120/241
-209/241 -120/241
161/289 -240/289
-161/289 240/289
29/421 420/421
-29/421 -420/421
255/257 -32/257
-255/257 32/257
247/265 96/265
-247/265 -96/265
231/281 -160/281
-231/281 160/281
207/305 224/305
-207/305 -224/305
175/337 -288/337
-175/337 288/337
135/377 352/377
-135/377 -352/377
87/425 -416/425
-87/425 416/425
31/481 480/481
-31/481 -480/481
285/293 -68/293
-285/293 68/293
273/305 136/305
-273/305 -136/305
253/325 -204/325
-253/325 204/325
225/353 272/353
-225/353 -272/353
189/389 -340/389
-189/389 340/389
145/433 408/433
-145/433 -408/433
93/485 -476/485
-93/485 476/485
33/545 544/545
-33/545 -544/545
323/325 -36/325
-323/325 36/325
