64
3/5 4/5
-3/5 -4/5
5/13 -12/13
-5/13 12/13
15/17 8/17
-15/17 -8/17
7/25 -24/25
-7/25 24/25
21/29 20/29
-21/29 -20/29
9/41 -40/41
-9/41 40/41
35/37 12/37
-35/37 -12/37
11/61 -60/61
-11/61 60/61
45/53 28/53
-45/53 -28/53
33/65 -56/65
-33/65 56/65
13/85 84/85
-13/85 -84/85
63/65 -16/65
-63/65 16/65
55/73 48/73
-55/73 -48/73
39/89 -80/89
-39/89 80/89
15/113 112/113
-15/113 -112/113
77/85 -36/85
-77/85 36/85
65/97 72/97
-65/97 -72/97
17/145 -144/145
-17/145 144/145
99/101 20/101
-99/101 -20/101
91/109 -60/109
-91/109 60/109
51/149 140/149
-51/149 -140/149
19/181 -180/181
-19/181 180/181
117/125 44/125
-117/125 -44/125
105/137 -88/137
-105/137 88/137
85/157 132/157
-85/157 -132/157
57/185 -176/185
-57/185 176/185
21/221 220/221
-21/221 -220/221
143/145 -24/145
-143/145 24/145
119/169 120/169
-119/169 -120/169
95/193 -168/193
-95/193 168/193
23/265 264/265
-23/265 -264/265
165/173 -52/173
-165/173 52/173
